GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
consuming-web-service-complete,com.example.consumingwebservice,evClient,38,0,0,0,8,0,2,0,2,0
consuming-web-service-complete,com.example.consumingwebservice,EVConfig,27,0,0,0,9,0,3,0,3,0
consuming-web-service-complete,com.example.consumingwebservice,ConsumingWebServiceApplication,28,0,0,0,7,0,4,0,4,0
consuming-web-service-complete,com.example.consumingwebservice,evClient.new WebServiceMessageCallback() {...},14,0,0,0,3,0,2,0,2,0
consuming-web-service-complete,com.example.consumingwebservice.wsdl,DivideResponse,10,0,0,0,4,0,3,0,3,0
consuming-web-service-complete,com.example.consumingwebservice.wsdl,Multiply,17,0,0,0,7,0,5,0,5,0
consuming-web-service-complete,com.example.consumingwebservice.wsdl,Subtract,17,0,0,0,7,0,5,0,5,0
consuming-web-service-complete,com.example.consumingwebservice.wsdl,SubtractResponse,10,0,0,0,4,0,3,0,3,0
consuming-web-service-complete,com.example.consumingwebservice.wsdl,MultiplyResponse,10,0,0,0,4,0,3,0,3,0
consuming-web-service-complete,com.example.consumingwebservice.wsdl,Divide,17,0,0,0,7,0,5,0,5,0
consuming-web-service-complete,com.example.consumingwebservice.wsdl,ObjectFactory,35,0,0,0,10,0,9,0,9,0
consuming-web-service-complete,com.example.consumingwebservice.wsdl,Add,17,0,0,0,7,0,5,0,5,0
consuming-web-service-complete,com.example.consumingwebservice.wsdl,AddResponse,10,0,0,0,4,0,3,0,3,0
